commissioner;category;persons;date;year;month;day;met_with;subject;link
Dombrovskis_cabinet;cabinet;Andrea Beltramello;19.04.2023;2023.0;4.0;19.0;The Payments Association EU;Payment Service Directive (PSD2);https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=220874247456-16
McGuiness_cabinet;cabinet;Agnieszka Drzewoska;19.04.2023;2023.0;4.0;19.0;The Payments Association EU;Introductory meeting, legislation and initiatives in the field of payments.;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=220874247456-16
Lenarcic_cabinet;cabinet;Kim-Tobias Eling;19.04.2023;2023.0;4.0;19.0;Egmont Institute;European Humanitarian Forum;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=363331923608-55
Simson;commissioner;;20.04.2023;2023.0;4.0;20.0;SMEunited aisbl;Exchange on SME challenges in greening the economy and in particular the Sustainable Product Initiative and energy transition, also exchange on electricity market design and EPBD.;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=55820581197-35
Simson_cabinet;cabinet;Stefano Grassi, Thor-Sten Vertmann;20.04.2023;2023.0;4.0;20.0;SMEunited aisbl;Exchange on SME challenges in greening the economy and in particular the Sustainable Product Initiative and energy transition, also exchange on electricity market design and EPBD.;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=55820581197-35
Lenarcic_cabinet;cabinet;Kim-Tobias Eling;21.04.2023;2023.0;4.0;21.0;Egmont Institute;European Humanitarian Forum;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=363331923608-55
Schmit_cabinet;cabinet;Christoph Nerlich;24.04.2023;2023.0;4.0;24.0;Croix Rouge Française, Les Restaurants du Cœur, European Food Banks Federation;Fead and support to most deprived;
Von der Leyen_cabinet;cabinet;Valeria Miceli;25.04.2023;2023.0;4.0;25.0;European Federation of Investors and Financial Services Users, Finance Watch, Bureau Européen des Unions de Consommateurs;Retail Investment Strategy with a particular focus on ban on inducements;
Timmermans_cabinet;cabinet;Antoine Colombani, Stefanie Hiesinger;25.04.2023;2023.0;4.0;25.0;Heidelberg Materials (HeidelbergCement AG);Decarbonisation of the cement sector;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=81970148701-15
Sefcovic_cabinet;cabinet;Juraj Nociar, Dimitri Lorenzani;25.04.2023;2023.0;4.0;25.0;Volkswagen Aktiengesellschaft;Discussion on batteries;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=6504541970-40
